FD_Grid,Feature,Latitude,Longitude
AA 1,FD Grid Ref Pt - Mapping,-31.69937,115.03806
AA 10,FD Grid Ref Pt - Mapping,-31.70347,115.19076
AA 100,FD Grid Ref Pt - Mapping,-31.73535,116.71843
AA 101,FD Grid Ref Pt - Mapping,-31.73561,116.73541
AA 102,FD Grid Ref Pt - Mapping,-31.73586,116.75239
AA 103,FD Grid Ref Pt - Mapping,-31.73612,116.76937
AA 104,FD Grid Ref Pt - Mapping,-31.73637,116.78635
AA 105,FD Grid Ref Pt - Mapping,-31.73663,116.80333
AA 106,FD Grid Ref Pt - Mapping,-31.73688,116.82031
AA 107,FD Grid Ref Pt - Mapping,-31.73712,116.83729
AA 108,FD Grid Ref Pt - Mapping,-31.73737,116.85427
AA 109,FD Grid Ref Pt - Mapping,-31.73761,116.87125
AA 11,FD Grid Ref Pt - Mapping,-31.70393,115.20773
AA 110,FD Grid Ref Pt - Mapping,-31.73785,116.88823
AA 111,FD Grid Ref Pt - Mapping,-31.7381,116.90521
AA 112,FD Grid Ref Pt - Mapping,-31.73833,116.92219
AA 113,FD Grid Ref Pt - Mapping,-31.73856,116.93917
AA 114,FD Grid Ref Pt - Mapping,-31.7388,116.95615
AA 115,FD Grid Ref Pt - Mapping,-31.73902,116.97313
AA 116,FD Grid Ref Pt - Mapping,-31.73926,116.99011
AA 117,FD Grid Ref Pt - Mapping,-31.73948,117.00709
AA 118,FD Grid Ref Pt - Mapping,-31.73971,117.02407
AA 119,FD Grid Ref Pt - Mapping,-31.73993,117.04105
AA 12,FD Grid Ref Pt - Mapping,-31.70437,115.2247
AA 120,FD Grid Ref Pt - Mapping,-31.74015,117.05804
AA 121,FD Grid Ref Pt - Mapping,-31.74037,117.07502
AA 122,FD Grid Ref Pt - Mapping,-31.74058,117.092
AA 123,FD Grid Ref Pt - Mapping,-31.7408,117.10898
AA 124,FD Grid Ref Pt - Mapping,-31.74102,117.12596
AA 125,FD Grid Ref Pt - Mapping,-31.74122,117.14294
AA 126,FD Grid Ref Pt - Mapping,-31.74143,117.15993
AA 127,FD Grid Ref Pt - Mapping,-31.74164,117.17691
AA 128,FD Grid Ref Pt - Mapping,-31.74184,117.19389
AA 129,FD Grid Ref Pt - Mapping,-31.74204,117.21087
AA 13,FD Grid Ref Pt - Mapping,-31.70481,115.24166
AA 130,FD Grid Ref Pt - Mapping,-31.74224,117.22785
AA 131,FD Grid Ref Pt - Mapping,-31.74244,117.24484
AA 132,FD Grid Ref Pt - Mapping,-31.74264,117.26182
AA 133,FD Grid Ref Pt - Mapping,-31.74283,117.2788
AA 134,FD Grid Ref Pt - Mapping,-31.74302,117.29578
AA 135,FD Grid Ref Pt - Mapping,-31.74321,117.31277
AA 136,FD Grid Ref Pt - Mapping,-31.74339,117.32975
AA 137,FD Grid Ref Pt - Mapping,-31.74358,117.34673
AA 138,FD Grid Ref Pt - Mapping,-31.74376,117.36371
AA 139,FD Grid Ref Pt - Mapping,-31.74394,117.3807
AA 14,FD Grid Ref Pt - Mapping,-31.70525,115.25863
AA 140,FD Grid Ref Pt - Mapping,-31.74412,117.39768
AA 141,FD Grid Ref Pt - Mapping,-31.7443,117.41466
AA 142,FD Grid Ref Pt - Mapping,-31.74448,117.43165
AA 143,FD Grid Ref Pt - Mapping,-31.74465,117.44863
AA 144,FD Grid Ref Pt - Mapping,-31.74482,117.46561
AA 145,FD Grid Ref Pt - Mapping,-31.74499,117.48259
AA 146,FD Grid Ref Pt - Mapping,-31.74516,117.49958
AA 147,FD Grid Ref Pt - Mapping,-31.74532,117.51656
AA 148,FD Grid Ref Pt - Mapping,-31.74548,117.53354
AA 149,FD Grid Ref Pt - Mapping,-31.74565,117.55053
AA 15,FD Grid Ref Pt - Mapping,-31.70569,115.2756
AA 150,FD Grid Ref Pt - Mapping,-31.7458,117.56751
AA 151,FD Grid Ref Pt - Mapping,-31.74596,117.5845
AA 152,FD Grid Ref Pt - Mapping,-31.74611,117.60148
AA 153,FD Grid Ref Pt - Mapping,-31.74627,117.61846
AA 154,FD Grid Ref Pt - Mapping,-31.74641,117.63545
AA 155,FD Grid Ref Pt - Mapping,-31.74657,117.65243
AA 156,FD Grid Ref Pt - Mapping,-31.74671,117.66941
AA 157,FD Grid Ref Pt - Mapping,-31.74685,117.6864
AA 158,FD Grid Ref Pt - Mapping,-31.747,117.70338
AA 159,FD Grid Ref Pt - Mapping,-31.74713,117.72037
AA 16,FD Grid Ref Pt - Mapping,-31.70612,115.29257
AA 160,FD Grid Ref Pt - Mapping,-31.74727,117.73735
AA 161,FD Grid Ref Pt - Mapping,-31.74741,117.75433
AA 162,FD Grid Ref Pt - Mapping,-31.74754,117.77132
AA 163,FD Grid Ref Pt - Mapping,-31.74767,117.7883
AA 164,FD Grid Ref Pt - Mapping,-31.7478,117.80529
AA 165,FD Grid Ref Pt - Mapping,-31.74793,117.82227
AA 166,FD Grid Ref Pt - Mapping,-31.74805,117.83926
AA 167,FD Grid Ref Pt - Mapping,-31.74818,117.85624
AA 168,FD Grid Ref Pt - Mapping,-31.74829,117.87322
AA 169,FD Grid Ref Pt - Mapping,-31.74842,117.89021
AA 17,FD Grid Ref Pt - Mapping,-31.70656,115.30954
AA 170,FD Grid Ref Pt - Mapping,-31.74854,117.90719
AA 171,FD Grid Ref Pt - Mapping,-31.74865,117.92418
AA 172,FD Grid Ref Pt - Mapping,-31.74876,117.94116
AA 173,FD Grid Ref Pt - Mapping,-31.74887,117.95815
AA 174,FD Grid Ref Pt - Mapping,-31.74898,117.97513
AA 18,FD Grid Ref Pt - Mapping,-31.70699,115.32651
AA 19,FD Grid Ref Pt - Mapping,-31.70742,115.34347
AA 2,FD Grid Ref Pt - Mapping,-31.69983,115.05503
AA 20,FD Grid Ref Pt - Mapping,-31.70785,115.36044
AA 21,FD Grid Ref Pt - Mapping,-31.70827,115.37741
AA 22,FD Grid Ref Pt - Mapping,-31.7087,115.39438
AA 23,FD Grid Ref Pt - Mapping,-31.70912,115.41135
AA 24,FD Grid Ref Pt - Mapping,-31.70954,115.42832
AA 25,FD Grid Ref Pt - Mapping,-31.70995,115.44529
AA 26,FD Grid Ref Pt - Mapping,-31.71037,115.46226
AA 27,FD Grid Ref Pt - Mapping,-31.71078,115.47923
AA 28,FD Grid Ref Pt - Mapping,-31.71119,115.4962
